"","name","pvalue","estimate","expression","BH"
"15238","GO_LATERAL_ELEMENT",0.330987031587496,2.98858893901806,"Down",0.878781905502177
"15239","GO_CENTRAL_ELEMENT",1,0,"UP",1
"15240","GO_CENTRAL_ELEMENT",1,0,"Down",1
"15241","GO_SEX_CHROMOSOME",0.409394770056276,0,"UP",0.969875143177952
"15242","GO_SEX_CHROMOSOME",1,0.568569572267912,"Down",1
"15243","GO_X_CHROMOSOME",1,0,"UP",1
"15244","GO_X_CHROMOSOME",0.51501132166224,1.49392454884441,"Down",1
"15245","GO_ORIGIN_RECOGNITION_COMPLEX",1,0,"UP",1
"15246","GO_ORIGIN_RECOGNITION_COMPLEX",1,0,"Down",1
"15247","GO_SWR1_COMPLEX",1,0,"UP",1
"15248","GO_SWR1_COMPLEX",1,0,"Down",1
"15249","GO_ESCRT_I_COMPLEX",1,0,"UP",1
"15250","GO_ESCRT_I_COMPLEX",1,0,"Down",1
"15251","GO_ESCRT_III_COMPLEX",1,0,"UP",1
"15252","GO_ESCRT_III_COMPLEX",1,0,"Down",1
"15253","GO_ER_UBIQUITIN_LIGASE_COMPLEX",1,0,"UP",1
"15254","GO_ER_UBIQUITIN_LIGASE_COMPLEX",1,0,"Down",1
"15255","GO_HRD1P_UBIQUITIN_LIGASE_ERAD_L_COMPLEX",1,0,"UP",1
"15256","GO_HRD1P_UBIQUITIN_LIGASE_ERAD_L_COMPLEX",1,0,"Down",1
"15257","GO_SPINDLE_POLE",0.473093470978924,0.694154425210746,"UP",1
"15258","GO_SPINDLE_POLE",0.473093470978924,0.694154425210746,"Down",1
"15259","GO_EQUATORIAL_MICROTUBULE_ORGANIZING_CENTER",1,0,"UP",1
"15260","GO_EQUATORIAL_MICROTUBULE_ORGANIZING_CENTER",1,0,"Down",1
"15261","GO_GAMMA_TUBULIN_COMPLEX",0.617115109293418,0,"UP",1
"15262","GO_GAMMA_TUBULIN_COMPLEX",0.617115109293418,0,"Down",1
"15263","GO_GAMMA_TUBULIN_LARGE_COMPLEX",1,0,"UP",1
"15264","GO_GAMMA_TUBULIN_LARGE_COMPLEX",1,0,"Down",1
"15265","GO_P_BODY",0.433200827905486,0.486692052718456,"UP",0.981991989277697
"15266","GO_P_BODY",0.0315292689910631,0,"Down",0.228544018466035
"15267","GO_GARP_COMPLEX",1,0,"UP",1
"15268","GO_GARP_COMPLEX",1,0,"Down",1
"15269","GO_CONDENSED_CHROMOSOME_INNER_KINETOCHORE",1,0,"UP",1
"15270","GO_CONDENSED_CHROMOSOME_INNER_KINETOCHORE",0.330987031587496,2.98858893901806,"Down",0.878781905502177
"15271","GO_CONDENSED_CHROMOSOME_OUTER_KINETOCHORE",1,0,"UP",1
"15272","GO_CONDENSED_CHROMOSOME_OUTER_KINETOCHORE",1,0,"Down",1
"15273","GO_PRP19_COMPLEX",1,0,"UP",1
"15274","GO_PRP19_COMPLEX",1,0,"Down",1
"15275","GO_SAM_COMPLEX",1,0,"UP",1
"15276","GO_SAM_COMPLEX",1,0,"Down",1
"15277","GO_PAM_COMPLEX_TIM23_ASSOCIATED_IMPORT_MOTOR",1,0,"UP",1
"15278","GO_PAM_COMPLEX_TIM23_ASSOCIATED_IMPORT_MOTOR",1,0,"Down",1
"15279","GO_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX",1,0,"UP",1
"15280","GO_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX",1,0,"Down",1
"15281","GO_OUTER_DENSE_FIBER",1,0,"UP",1
"15282","GO_OUTER_DENSE_FIBER",0.214277578131205,5.97696382322776,"Down",0.723248440678806
"15283","GO_MICROFIBRIL",0.000125046011378198,20.0027289379593,"UP",0.00335777145847182
"15284","GO_MICROFIBRIL",1,0,"Down",1
"15285","GO_CORNIFIED_ENVELOPE",0.409394770056276,0,"UP",0.969875143177952
"15286","GO_CORNIFIED_ENVELOPE",0.685748224254768,1.19517153765897,"Down",1
"15287","GO_RADIAL_SPOKE",1,0,"UP",1
"15288","GO_RADIAL_SPOKE",1,0,"Down",1
"15289","GO_FIBRILLAR_CENTER",1,0.86512443162478,"UP",1
"15290","GO_FIBRILLAR_CENTER",0.512579162582939,1.25002387402472,"Down",1
"15291","GO_GRANULAR_COMPONENT",1,0,"UP",1
"15292","GO_GRANULAR_COMPONENT",1,0,"Down",1
"15293","GO_ACROSOMAL_VESICLE",0.0493376690276995,2.48063230752175,"UP",0.309403898044841
"15294","GO_ACROSOMAL_VESICLE",0.343443907236286,1.54377139382711,"Down",0.907748937525449
"15295","GO_MALE_GERM_CELL_NUCLEUS",1,0,"UP",1
"15296","GO_MALE_GERM_CELL_NUCLEUS",1,0,"Down",1
"15297","GO_RUFFLE",6.9162204912776e-05,2.66139428625767,"UP",0.00202671899189479
"15298","GO_RUFFLE",0.334720378974697,0.631067282205441,"Down",0.888005427469744
"15299","GO_SEX_CHROMATIN",1,0,"UP",1
"15300","GO_SEX_CHROMATIN",1,0,"Down",1
"15301","GO_BARR_BODY",1,0,"UP",1
"15302","GO_BARR_BODY",1,0,"Down",1
"15303","GO_XY_BODY",1,0,"UP",1
"15304","GO_XY_BODY",1,0,"Down",1
"15305","GO_PHOTORECEPTOR_OUTER_SEGMENT",0.297090275457947,1.77306364833366,"UP",0.856176829188713
"15306","GO_PHOTORECEPTOR_OUTER_SEGMENT",1,0.823647968738263,"Down",1
"15307","GO_IMMUNOLOGICAL_SYNAPSE",0.086706235356288,2.303904364192,"UP",0.441855491612222
"15308","GO_IMMUNOLOGICAL_SYNAPSE",0.511734400025833,0.397683724442454,"Down",1
"15309","GO_PHAGOCYTIC_CUP",0.00768015085813743,4.99715045244093,"UP",0.0841782023821045
"15310","GO_PHAGOCYTIC_CUP",0.636983435692413,0,"Down",1
"15311","GO_PHOTORECEPTOR_INNER_SEGMENT",0.394217214823207,0,"UP",0.951028775912897
"15312","GO_PHOTORECEPTOR_INNER_SEGMENT",0.177308291678505,2.24377370906912,"Down",0.664536713367138
"15313","GO_FEMALE_PRONUCLEUS",1,0,"UP",1
"15314","GO_FEMALE_PRONUCLEUS",1,0,"Down",1
"15315","GO_MALE_PRONUCLEUS",1,0,"UP",1
"15316","GO_MALE_PRONUCLEUS",1,0,"Down",1
"15317","GO_INNER_ACROSOMAL_MEMBRANE",1,0,"UP",1
"15318","GO_INNER_ACROSOMAL_MEMBRANE",1,0,"Down",1
"15319","GO_ACROSOMAL_MEMBRANE",0.0126924359891468,8.98174943419262,"UP",0.12345076708762
"15320","GO_ACROSOMAL_MEMBRANE",1,0,"Down",1
"15321","GO_PODOSOME",0.00673484832992201,4.23575088357982,"UP",0.0783722316324934
"15322","GO_PODOSOME",1,0.542681453483938,"Down",1
"15323","GO_SEMAPHORIN_RECEPTOR_COMPLEX",0.00192296361904578,11.9866452578698,"UP",0.0300391776900672
"15324","GO_SEMAPHORIN_RECEPTOR_COMPLEX",1,0,"Down",1
"15325","GO_STEREOCILIA_COUPLING_LINK",1,0,"UP",1
"15326","GO_STEREOCILIA_COUPLING_LINK",0.274974559349343,3.98538054739772,"Down",0.808687405452853
"15327","GO_MANCHETTE",1,0,"UP",1
"15328","GO_MANCHETTE",0.274974559349343,3.98538054739772,"Down",0.808687405452853
"15329","GO_PALMITOYLTRANSFERASE_COMPLEX",1,0,"UP",1
"15330","GO_PALMITOYLTRANSFERASE_COMPLEX",0.51501132166224,1.49392454884441,"Down",1
"15331","GO_RIBOSE_PHOSPHATE_DIPHOSPHOKINASE_COMPLEX",1,0,"UP",1
"15332","GO_RIBOSE_PHOSPHATE_DIPHOSPHOKINASE_COMPLEX",1,0,"Down",1
"15333","GO_ZONA_PELLUCIDA_RECEPTOR_COMPLEX",1,0,"UP",1
"15334","GO_ZONA_PELLUCIDA_RECEPTOR_COMPLEX",1,0,"Down",1
"15335","GO_FIBRINOGEN_COMPLEX",0.050924670396729,7.97654409945351,"UP",0.309403898044841
"15336","GO_FIBRINOGEN_COMPLEX",1,0,"Down",1
"15337","GO_MEMBRANE_ATTACK_COMPLEX",0.1485047318338,11.9536663357606,"UP",0.602828191993468
"15338","GO_MEMBRANE_ATTACK_COMPLEX",1,0,"Down",1
"15339","GO_COLLAGEN_TRIMER",4.48676879102207e-21,19.7812050354961,"UP",2.14342336058547e-18
"15340","GO_COLLAGEN_TRIMER",0.264203705858791,0.259013882530474,"Down",0.808687405452853
"15341","GO_FIBRILLAR_COLLAGEN_TRIMER",1.56630287924369e-06,28.06415481464,"UP",7.11836144810263e-05
"15342","GO_FIBRILLAR_COLLAGEN_TRIMER",1,0,"Down",1
"15343","GO_COLLAGEN_TYPE_IV_TRIMER",0.0169590392389908,23.9138465119583,"UP",0.149747840914357
"15344","GO_COLLAGEN_TYPE_IV_TRIMER",1,0,"Down",1
"15345","GO_FACIT_COLLAGEN_TRIMER",0.050924670396729,7.97654409945351,"UP",0.309403898044841
"15346","GO_FACIT_COLLAGEN_TRIMER",0.330987031587496,2.98858893901806,"Down",0.878781905502177
"15347","GO_BASEMENT_MEMBRANE",2.17557901885641e-16,9.28770345165401,"UP",5.1965981634126e-14
"15348","GO_BASEMENT_MEMBRANE",0.17753938664368,0.340069833664176,"Down",0.664536713367138
"15349","GO_INTERSTITIAL_MATRIX",0.00508873111251298,7.99055360365472,"UP",0.0635457231083536
"15350","GO_INTERSTITIAL_MATRIX",0.55249402344273,1.32784926330267,"Down",1
"15351","GO_NUCLEAR_ENVELOPE",1,0.956757889245457,"UP",1
"15352","GO_NUCLEAR_ENVELOPE",0.65167017515338,0.857178011773302,"Down",1
"15353","GO_NUCLEAR_INNER_MEMBRANE",0.739102205882138,1.19536730296439,"UP",1
"15354","GO_NUCLEAR_INNER_MEMBRANE",0.177202637258887,0,"Down",0.664536713367138
"15355","GO_LAMIN_FILAMENT",1,0,"UP",1
"15356","GO_LAMIN_FILAMENT",1,0,"Down",1
"15357","GO_NUCLEAR_OUTER_MEMBRANE",0.177308291678505,2.24377370906912,"UP",0.664536713367138
